" ;"" "";"" "";""SLOVENIJA"";""Zahodna Slovenija"";""..Obalno-kraška"";""..Goriška"";""..Gorenjska"";""..Osrednjeslovenska"";""Vzhodna Slovenija"";""..Notranjsko-kraška"";""..Jugovzhodna Slovenija"";""..Spodnjeposavska"";""..Zasavska"";""..Savinjska"";""..Koroška"";""..Podravska"";""..Pomurska""",,,
2000,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";16177;8748;909;955;1421;5464;7428;331;1043;498;296;1875;505;2143;737",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";543;162;15;37;38;73;381;27;68;30;6;74;24;84;68",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";4539;1966;153;298;522;994;2573;108;408;199;135;706;220;593;204",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";3954;1788;131;271;495;891;2166;103;393;113;86;560;195;526;191",,,
" ;"" "";""F Gradbeništvo"";1076;557;72;89;72;324;519;22;70;39;19;140;25;144;59",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";3040;1864;306;140;292;1126;1176;53;121;75;32;331;70;368;126",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";624;483;28;16;26;413;141;3;14;3;9;33;5;62;14",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";787;498;49;39;48;363;289;10;35;13;10;59;13;111;37",,,
" ;"" "";""L Poslovanje z nepremièninami"";1276;612;69;77;125;342;663;33;84;43;26;158;43;198;78",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1146;705;40;41;65;558;442;18;93;23;15;79;23;170;21",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";2607;1519;135;130;196;1058;1088;47;136;67;37;249;72;365;116"
" ;"" "";""RSTU Druge dejavnosti"";539;382;42;90;37;213;158;10;15;8;7;46;10;49;13",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;54.1;5.6;5.9;8.8;33.8;45.9;2.0;6.4;3.1;1.8;11.6;3.1;13.2;4.6",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;29.9;2.7;6.8;6.9;13.5;70.1;4.9;12.5;5.6;1.1;13.6;4.5;15.4;12.6",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;43.3;3.4;6.6;11.5;21.9;56.7;2.4;9.0;4.4;3.0;15.6;4.8;13.1;4.5",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;45.2;3.3;6.8;12.5;22.5;54.8;2.6;9.9;2.8;2.2;14.2;4.9;13.3;4.8",,,
" ;"" "";""F Gradbeništvo"";100.0;51.8;6.7;8.3;6.7;30.1;48.2;2.0;6.5;3.6;1.8;13.0;2.3;13.4;5.5",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;61.3;10.1;4.6;9.6;37.0;38.7;1.7;4.0;2.5;1.0;10.9;2.3;12.1;4.1",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;77.4;4.5;2.5;4.2;66.1;22.6;0.5;2.2;0.5;1.4;5.3;0.8;9.9;2.2",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;63.3;6.2;4.9;6.1;46.1;36.7;1.3;4.4;1.6;1.3;7.5;1.7;14.1;4.7",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.0;5.4;6.0;9.8;26.8;52.0;2.6;6.6;3.4;2.0;12.4;3.4;15.5;6.1",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;61.5;3.5;3.6;5.7;48.7;38.5;1.6;8.1;2.0;1.3;6.9;2.0;14.8;1.9",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.3;5.2;5.0;7.5;40.6;41.7;1.8;5.2;2.6;1.4;9.6;2.8;14.0;4.5"
" ;"" "";""RSTU Druge dejavnosti"";100.0;70.8;7.8;16.7;6.8;39.5;29.2;1.9;2.8;1.5;1.3;8.4;1.8;9.1;2.4",,,
" ;""Struktura po dejavnostih (%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";3.4;1.9;1.6;3.9;2.6;1.3;5.1;8.1;6.5;6.1;2.1;3.9;4.8;3.9;9.3",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";28.1;22.5;16.8;31.2;36.7;18.2;34.6;32.7;39.1;39.8;45.6;37.6;43.6;27.7;27.7",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";24.4;20.4;14.4;28.3;34.8;16.3;29.2;31.0;37.7;22.6;29.0;29.9;38.7;24.5;25.9",,,
" ;"" "";""F Gradbeništvo"";6.7;6.4;7.9;9.3;5.1;5.9;7.0;6.6;6.7;7.8;6.5;7.5;5.0;6.7;8.0",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";18.8;21.3;33.6;14.7;20.6;20.6;15.8;16.0;11.6;15.0;10.8;17.7;13.8;17.2;17.1",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";3.9;5.5;3.1;1.6;1.8;7.6;1.9;0.8;1.3;0.6;2.9;1.8;0.9;2.9;1.9",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.9;5.7;5.4;4.0;3.4;6.6;3.9;3.2;3.3;2.5;3.5;3.1;2.6;5.2;5.0",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.9;7.0;7.6;8.0;8.8;6.3;8.9;10.0;8.1;8.6;8.7;8.4;8.6;9.2;10.6",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";7.1;8.1;4.4;4.3;4.6;10.2;5.9;5.5;8.9;4.5;5.1;4.2;4.5;7.9;2.9",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.1;17.4;14.9;13.6;13.8;19.4;14.6;14.1;13.0;13.4;12.5;13.3;14.2;17.0;15.8"
" ;"" "";""RSTU Druge dejavnosti"";3.3;4.4;4.6;9.4;2.6;3.9;2.1;3.0;1.5;1.7;2.3;2.4;1.9;2.3;1.8",,,
2001,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";18173;9885;1012;1078;1615;6180;8288;359;1199;556;315;2071;571;2407;810",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";550;166;16;38;39;73;384;27;69;31;6;75;25;83;67",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";5136;2196;173;343;581;1099;2940;117;494;234;140;790;252;686;227",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";4460;1978;148;311;549;971;2482;110;481;128;94;629;222;606;211",,,
" ;"" "";""F Gradbeništvo"";1142;588;76;95;78;339;553;26;78;42;19;147;25;157;59",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";3458;2129;339;162;341;1287;1329;59;143;81;36;364;83;417;146",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";728;570;33;18;28;492;158;3;14;3;10;37;6;71;14",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";805;512;49;39;52;372;293;10;33;11;9;60;13;120;35",,,
" ;"" "";""L Poslovanje z nepremièninami"";1434;688;78;87;141;382;746;37;95;48;29;179;49;221;89",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1317;861;47;44;76;694;456;18;86;23;16;82;26;178;27",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";3024;1756;157;149;224;1226;1268;54;170;74;42;291;83;421;133"
" ;"" "";""RSTU Druge dejavnosti"";580;419;44;103;56;216;160;9;15;8;7;46;10;53;12",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;54.4;5.6;5.9;8.9;34.0;45.6;2.0;6.6;3.1;1.7;11.4;3.1;13.2;4.5",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;30.2;2.9;6.9;7.0;13.3;69.8;5.0;12.6;5.6;1.1;13.7;4.5;15.1;12.2",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;42.8;3.4;6.7;11.3;21.4;57.2;2.3;9.6;4.6;2.7;15.4;4.9;13.4;4.4",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;44.3;3.3;7.0;12.3;21.8;55.7;2.5;10.8;2.9;2.1;14.1;5.0;13.6;4.7",,,
" ;"" "";""F Gradbeništvo"";100.0;51.5;6.7;8.3;6.8;29.7;48.5;2.3;6.9;3.7;1.7;12.9;2.2;13.7;5.2",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;61.6;9.8;4.7;9.8;37.2;38.4;1.7;4.1;2.3;1.0;10.5;2.4;12.1;4.2",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;78.3;4.5;2.4;3.8;67.5;21.7;0.4;1.9;0.4;1.4;5.1;0.8;9.8;2.0",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;63.6;6.1;4.9;6.4;46.2;36.4;1.3;4.1;1.4;1.2;7.4;1.7;14.9;4.4",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.0;5.5;6.1;9.8;26.6;52.0;2.6;6.6;3.4;2.0;12.5;3.4;15.4;6.2",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;65.4;3.6;3.4;5.8;52.7;34.6;1.3;6.5;1.8;1.2;6.2;2.0;13.5;2.1",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.1;5.2;4.9;7.4;40.5;41.9;1.8;5.6;2.5;1.4;9.6;2.8;13.9;4.4"
" ;"" "";""RSTU Druge dejavnosti"";100.0;72.4;7.6;17.7;9.7;37.3;27.6;1.5;2.7;1.4;1.2;8.0;1.7;9.2;2.1",,,
" ;""Struktura po dejavnostih (%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";3.0;1.7;1.6;3.5;2.4;1.2;4.6;7.6;5.8;5.5;1.9;3.6;4.4;3.4;8.3",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";28.3;22.2;17.1;31.8;36.0;17.8;35.5;32.4;41.2;42.1;44.5;38.1;44.0;28.5;28.0",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";24.5;20.0;14.6;28.8;34.0;15.7;29.9;30.7;40.2;23.1;29.8;30.4;38.8;25.2;26.1",,,
" ;"" "";""F Gradbeništvo"";6.3;5.9;7.5;8.8;4.8;5.5;6.7;7.2;6.5;7.6;6.1;7.1;4.4;6.5;7.3",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";19.0;21.5;33.5;15.0;21.1;20.8;16.0;16.5;11.9;14.6;11.3;17.6;14.5;17.3;18.0",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";4.0;5.8;3.3;1.6;1.7;8.0;1.9;0.9;1.2;0.5;3.2;1.8;1.0;3.0;1.8",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.4;5.2;4.8;3.7;3.2;6.0;3.5;2.8;2.8;2.0;3.0;2.9;2.4;5.0;4.4",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.9;7.0;7.7;8.1;8.7;6.2;9.0;10.3;7.9;8.7;9.3;8.6;8.6;9.2;10.9",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";7.2;8.7;4.6;4.1;4.7;11.2;5.5;4.9;7.2;4.2;5.1;4.0;4.5;7.4;3.4",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.6;17.8;15.5;13.9;13.8;19.8;15.3;15.0;14.2;13.4;13.2;14.1;14.6;17.5;16.5"
" ;"" "";""RSTU Druge dejavnosti"";3.2;4.2;4.4;9.5;3.5;3.5;1.9;2.4;1.3;1.4;2.2;2.2;1.7;2.2;1.5",,,
2002,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";20212;10987;1134;1189;1793;6870;9225;396;1328;627;339;2341;615;2709;870",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";659;199;18;46;47;88;461;33;81;38;8;92;28;102;81",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";5677;2401;189;378;641;1194;3275;132;543;268;147;913;269;763;240",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";4899;2161;162;342;606;1051;2738;126;529;132;98;727;237;666;223",,,
" ;"" "";""F Gradbeništvo"";1216;628;81;99;84;365;588;30;80;42;20;156;25;175;59",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";3870;2402;383;177;381;1461;1468;64;162;84;39;409;91;463;155",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";746;590;32;17;31;510;157;3;15;3;7;37;5;71;15",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";901;598;54;45;50;448;303;10;32;12;10;63;14;136;26",,,
" ;"" "";""L Poslovanje z nepremièninami"";1585;763;86;96;154;426;822;41;105;53;32;195;54;246;96",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1653;1048;71;61;102;814;605;19;109;35;24;109;27;241;39",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";3312;1925;171;163;249;1343;1387;59;186;83;45;318;91;459;146"
" ;"" "";""RSTU Druge dejavnosti"";593;434;49;107;56;222;160;5;16;8;5;48;11;54;13",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;54.4;5.6;5.9;8.9;34.0;45.6;2.0;6.6;3.1;1.7;11.6;3.0;13.4;4.3",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;30.1;2.7;7.0;7.1;13.4;69.9;5.0;12.2;5.8;1.2;13.9;4.2;15.4;12.2",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;42.3;3.3;6.7;11.3;21.0;57.7;2.3;9.6;4.7;2.6;16.1;4.7;13.4;4.2",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;44.1;3.3;7.0;12.4;21.5;55.9;2.6;10.8;2.7;2.0;14.8;4.8;13.6;4.5",,,
" ;"" "";""F Gradbeništvo"";100.0;51.7;6.7;8.1;6.9;30.0;48.3;2.5;6.6;3.5;1.7;12.9;2.1;14.4;4.9",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;62.1;9.9;4.6;9.9;37.7;37.9;1.7;4.2;2.2;1.0;10.6;2.3;12.0;4.0",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;79.0;4.3;2.3;4.1;68.4;21.0;0.4;1.9;0.4;1.0;4.9;0.7;9.6;2.0",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;66.3;6.0;5.0;5.5;49.7;33.7;1.1;3.5;1.3;1.2;7.0;1.6;15.1;2.9",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.1;5.5;6.0;9.7;26.9;51.9;2.6;6.6;3.3;2.0;12.3;3.4;15.5;6.1",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;63.4;4.3;3.7;6.2;49.3;36.6;1.1;6.6;2.1;1.5;6.6;1.6;14.6;2.4",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.1;5.2;4.9;7.5;40.5;41.9;1.8;5.6;2.5;1.4;9.6;2.8;13.9;4.4"
" ;"" "";""RSTU Druge dejavnosti"";100.0;73.1;8.2;18.1;9.4;37.3;26.9;0.9;2.7;1.3;0.9;8.0;1.8;9.1;2.2",,,
" ;""Struktura po dejavnostih (%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";3.3;1.8;1.6;3.9;2.6;1.3;5.0;8.3;6.1;6.1;2.2;3.9;4.5;3.8;9.3",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";28.1;21.9;16.7;31.8;35.7;17.4;35.5;33.3;40.9;42.7;43.4;39.0;43.8;28.1;27.6",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";24.2;19.7;14.2;28.8;33.8;15.3;29.7;31.7;39.8;21.1;29.0;31.1;38.5;24.6;25.6",,,
" ;"" "";""F Gradbeništvo"";6.0;5.7;7.2;8.3;4.7;5.3;6.4;7.5;6.0;6.7;6.0;6.7;4.1;6.5;6.8",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";19.1;21.9;33.8;14.9;21.3;21.3;15.9;16.2;12.2;13.5;11.5;17.5;14.8;17.1;17.8",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";3.7;5.4;2.8;1.4;1.7;7.4;1.7;0.8;1.1;0.5;2.2;1.6;0.9;2.6;1.7",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.5;5.4;4.8;3.8;2.8;6.5;3.3;2.6;2.4;1.9;3.1;2.7;2.3;5.0;3.0",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.8;6.9;7.6;8.1;8.6;6.2;8.9;10.3;7.9;8.5;9.5;8.3;8.8;9.1;11.1",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";8.2;9.5;6.2;5.1;5.7;11.9;6.6;4.8;8.2;5.6;7.2;4.7;4.4;8.9;4.5",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.4;17.5;15.1;13.7;13.9;19.5;15.0;14.8;14.0;13.3;13.4;13.6;14.8;16.9;16.7"
" ;"" "";""RSTU Druge dejavnosti"";2.9;3.9;4.3;9.0;3.1;3.2;1.7;1.3;1.2;1.3;1.5;2.0;1.7;2.0;1.5",,,
2003,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";22001;12152;1237;1267;1947;7701;9849;421;1443;645;360;2511;653;2887;931",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";540;164;17;39;38;71;376;29;67;31;6;74;22;82;65",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";6215;2672;205;403;703;1361;3543;145;615;272;162;989;286;811;262",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";5377;2408;174;365;665;1203;2970;138;601;134;108;788;252;704;244",,,
" ;"" "";""F Gradbeništvo"";1372;712;92;105;95;420;660;31;92;44;18;175;31;202;67",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";4258;2663;409;193;422;1639;1595;68;177;90;41;449;101;503;166",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";833;664;36;19;33;576;169;4;16;3;8;39;6;76;17",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";997;669;66;46;58;499;327;11;28;12;12;68;15;145;36",,,
" ;"" "";""L Poslovanje z nepremièninami"";1663;800;90;100;161;449;863;42;110;56;34;205;56;261;100",,,
